message,_col1
java.lang.StringBuilder#append(String),206474482.0
java.util.List#get(int),186214784.0
java.util.List#add(Object),161398781.0
"java.util.Map#put(Object,Object)",152973545.0
java.lang.String#equals(Object),128265744.0
java.util.Map#get(Object),123009534.0
java.util.List#size(),101437780.0
java.util.Collection#stream(),79389592.0
java.lang.Object#getClass(),78394019.0
java.util.stream.Stream#collect(Collector),53057697.0
"java.util.Objects#equals(Object,Object)",52029958.0
"java.lang.String#format(String,Object\[\])",49480849.0
java.util.stream.Stream#map(Function),46560258.0
java.lang.Throwable#getMessage(),44015724.0
java.util.Arrays#asList(Object\[\]),43179531.0
java.lang.String#equalsIgnoreCase(String),38325992.0
java.util.List#isEmpty(),37103912.0
java.util.Set#add(Object),37022089.0
"java.util.HashMap#put(Object,Object)",33059177.0
java.util.stream.Collectors#toList(),32171858.0
java.lang.String#length(),32017696.0
java.lang.StringBuilder#append(char),31958974.0
java.util.stream.Stream#filter(Predicate),31597944.0
java.lang.Enum#name(),29264379.0
java.lang.Object#toString(),29234262.0
java.util.Optional#get(),28655862.0
java.lang.StringBuilder#toString(),28598649.0
java.lang.IllegalArgumentException#IllegalArgumentException(String),28053895.0
java.lang.Class#getName(),27680986.0
java.io.PrintWriter#write(String),27557790.0
"java.lang.Enum#Enum(String,int)",25896090.0
java.util.Entry#getValue(),25824003.0
java.util.Entry#getKey(),24211710.0
java.util.Iterator#next(),23609375.0
java.util.Collections#singletonList(Object),21472701.0
java.lang.String#contains(CharSequence),20877124.0
java.lang.StringBuffer#append(String),20733921.0
java.util.ArrayList#add(Object),20205313.0
java.util.Optional#orElse(Object),20007276.0
java.lang.Iterable#forEach(Consumer),19754697.0
java.util.Optional#of(Object),19529168.0
java.lang.Object#hashCode(),19069663.0
java.util.Collections#emptyList(),18652250.0
java.lang.Object#equals(Object),18008154.0
java.lang.System#currentTimeMillis(),17911023.0
java.util.Optional#ofNullable(Object),17564733.0
java.util.Map#containsKey(Object),17415111.0
java.lang.String#trim(),17055742.0
java.math.BigDecimal#BigDecimal(String),16976269.0
java.util.List#addAll(Collection),16839757.0
java.util.Optional#isPresent(),16674287.0
java.util.Set#contains(Object),16545250.0
java.util.Map#entrySet(),16269378.0
java.util.Optional#empty(),15451655.0
java.lang.Integer#parseInt(String),15223805.0
java.lang.String#startsWith(String),15212179.0
java.util.Optional#map(Function),15177745.0
java.lang.IllegalStateException#IllegalStateException(String),14478720.0
java.util.Iterator#hasNext(),14439510.0
"java.lang.String#substring(int,int)",14058886.0
java.util.List#contains(Object),13893557.0
java.util.List#of(Object),13880314.0
java.lang.Enum#equals(Object),13735359.0
java.util.Objects#hash(Object\[\]),13366725.0
java.lang.String#isEmpty(),13247604.0
java.lang.RuntimeException#RuntimeException(String),13102661.0
"java.lang.String#replace(CharSequence,CharSequence)",12960340.0
java.util.Set#size(),12715299.0
java.io.File#File(String),12432638.0
java.lang.String#split(String),11938058.0
java.util.Map#values(),11817198.0
java.lang.StringBuilder#append(Object),11721849.0
java.util.Map#keySet(),11344338.0
java.sql.ResultSet#getString(String),11343996.0
java.util.ArrayList#ArrayList(Collection),11306443.0
java.lang.Throwable#Throwable(Throwable),11242976.0
java.util.UUID#randomUUID(),11161353.0
java.util.Map#size(),11153699.0
java.lang.String#hashCode(),11000943.0
java.util.HashMap#get(Object),10867745.0
java.lang.Class#getSimpleName(),10759356.0
java.lang.String#substring(int),10434738.0
java.util.Map#remove(Object),10416226.0
java.util.Set#isEmpty(),10407652.0
java.lang.Throwable#printStackTrace(),10350670.0
java.util.stream.Stream#findFirst(),9577901.0
java.lang.String#toLowerCase(),9518761.0
java.lang.String#valueOf(Object),9492284.0
java.lang.StringBuilder#append(int),9137791.0
"java.util.Objects#requireNonNull(Object,String)",8853279.0
java.util.Optional#ifPresent(Consumer),8675095.0
java.util.UUID#toString(),8647201.0
java.nio.file.Path#resolve(String),8530986.0
java.util.Collection#size(),8427520.0
java.lang.Enum#toString(),8088285.0
java.lang.RuntimeException#RuntimeException(Throwable),8053544.0
java.lang.UnsupportedOperationException#UnsupportedOperationException(String),7829803.0
java.lang.String#valueOf(int),7791586.0
java.lang.String#charAt(int),7788367.0
java.util.Map#isEmpty(),7785543.0
