message,_col1
java.lang.StringBuilder#append(String),193720170.0
java.util.List#get(int),164181319.0
java.util.List#add(Object),154431136.0
"java.util.Map#put(Object,Object)",144679613.0
java.lang.String#equals(Object),120359533.0
java.util.Map#get(Object),115016370.0
java.util.List#size(),96864640.0
java.util.Collection#stream(),77902615.0
java.lang.Object#getClass(),74097205.0
java.util.stream.Stream#collect(Collector),52039774.0
"java.util.Objects#equals(Object,Object)",50135346.0
"java.lang.String#format(String,Object\[\])",46704158.0
java.util.stream.Stream#map(Function),46121728.0
java.lang.Throwable#getMessage(),41571227.0
java.util.Arrays#asList(Object\[\]),39936394.0
java.lang.String#equalsIgnoreCase(String),35986730.0
java.util.List#isEmpty(),35718806.0
java.util.Set#add(Object),34930342.0
"java.util.HashMap#put(Object,Object)",32023449.0
java.util.stream.Collectors#toList(),31686189.0
java.lang.StringBuilder#append(char),31532194.0
java.util.stream.Stream#filter(Predicate),31205313.0
java.lang.String#length(),30135899.0
java.lang.Enum#name(),28535064.0
java.lang.Object#toString(),27979020.0
java.util.Optional#get(),27658479.0
java.lang.StringBuilder#toString(),26868677.0
java.lang.IllegalArgumentException#IllegalArgumentException(String),26676338.0
java.lang.Class#getName(),26271990.0
"java.lang.Enum#Enum(String,int)",25106753.0
java.io.PrintWriter#write(String),24858406.0
java.util.Entry#getValue(),23630692.0
java.util.Entry#getKey(),22256358.0
java.util.Iterator#next(),21995842.0
java.lang.Object#hashCode(),21618356.0
java.util.Optional#orElse(Object),20297681.0
java.lang.StringBuffer#append(String),19938785.0
java.util.Collections#singletonList(Object),19574996.0
java.lang.Iterable#forEach(Consumer),19070190.0
java.util.Optional#of(Object),19042197.0
java.lang.String#contains(CharSequence),19031599.0
java.util.ArrayList#add(Object),18686810.0
java.util.Optional#ofNullable(Object),17998121.0
java.util.Collections#emptyList(),17698161.0
java.math.BigDecimal#BigDecimal(String),16841948.0
java.lang.System#currentTimeMillis(),16690795.0
java.lang.Object#equals(Object),16413287.0
java.util.Map#containsKey(Object),16403109.0
java.util.Optional#isPresent(),16270610.0
java.lang.String#trim(),16138912.0
java.util.List#addAll(Collection),15987467.0
java.util.Set#contains(Object),15849481.0
java.util.Optional#map(Function),15643746.0
java.util.Map#entrySet(),15021903.0
java.util.Optional#empty(),14861920.0
java.lang.Integer#parseInt(String),14378923.0
java.lang.String#startsWith(String),14193661.0
java.lang.IllegalStateException#IllegalStateException(String),13686631.0
java.lang.Enum#equals(Object),13432752.0
java.util.Iterator#hasNext(),13370884.0
java.util.List#contains(Object),13336803.0
"java.lang.String#substring(int,int)",13319816.0
java.util.List#of(Object),13297715.0
java.util.Objects#hash(Object\[\]),12991132.0
java.lang.RuntimeException#RuntimeException(String),12384250.0
java.lang.String#isEmpty(),12342994.0
"java.lang.String#replace(CharSequence,CharSequence)",12192972.0
java.util.Set#size(),11805828.0
java.io.File#File(String),11427991.0
java.lang.StringBuilder#append(Object),11393946.0
java.lang.String#split(String),11338695.0
java.util.Map#values(),10994853.0
java.util.UUID#randomUUID(),10861301.0
java.util.ArrayList#ArrayList(Collection),10605973.0
java.util.Map#keySet(),10600801.0
java.sql.ResultSet#getString(String),10590366.0
java.lang.String#hashCode(),10584801.0
java.lang.Throwable#Throwable(Throwable),10382571.0
java.util.HashMap#get(Object),10261641.0
java.lang.Class#getSimpleName(),10221649.0
java.util.Set#isEmpty(),9964936.0
java.util.Map#size(),9954721.0
java.lang.String#substring(int),9836043.0
java.util.Map#remove(Object),9605599.0
java.lang.Throwable#printStackTrace(),9552065.0
java.util.stream.Stream#findFirst(),9418456.0
java.util.Optional#ifPresent(Consumer),9180757.0
java.lang.String#valueOf(Object),9123514.0
java.lang.String#toLowerCase(),9071999.0
java.util.UUID#toString(),8503921.0
java.lang.StringBuilder#append(int),8057118.0
"java.util.Objects#requireNonNull(Object,String)",7932058.0
java.nio.file.Path#resolve(String),7864872.0
java.lang.Enum#toString(),7799294.0
java.lang.RuntimeException#RuntimeException(Throwable),7462934.0
java.util.Collection#size(),7316110.0
java.lang.String#charAt(int),7307940.0
java.util.stream.Stream#forEach(Consumer),7265205.0
java.util.Map#isEmpty(),7240321.0
java.lang.String#valueOf(int),7206139.0
