message,_col1
java.lang.StringBuilder#append(String),231624947.0
java.util.List#get(int),220441986.0
java.util.List#add(Object),179627741.0
"java.util.Map#put(Object,Object)",173479330.0
java.lang.String#equals(Object),144841563.0
java.util.Map#get(Object),139977369.0
java.util.List#size(),113169157.0
java.lang.Object#getClass(),88335900.0
java.util.Collection#stream(),88285905.0
"java.util.Objects#equals(Object,Object)",59624455.0
java.util.stream.Stream#collect(Collector),58932521.0
"java.lang.String#format(String,Object\[\])",55166421.0
java.util.stream.Stream#map(Function),51593162.0
java.lang.Throwable#getMessage(),48959145.0
java.util.Arrays#asList(Object\[\]),48877087.0
java.lang.String#equalsIgnoreCase(String),42783972.0
java.util.List#isEmpty(),41613461.0
java.util.Set#add(Object),41008456.0
"java.util.HashMap#put(Object,Object)",36533848.0
java.lang.StringBuilder#append(char),35983974.0
java.lang.String#length(),35500911.0
java.util.stream.Collectors#toList(),35486791.0
java.util.stream.Stream#filter(Predicate),34948387.0
java.lang.Enum#name(),33500115.0
java.lang.StringBuilder#toString(),32145909.0
java.lang.Object#toString(),32127487.0
java.lang.Class#getName(),31200797.0
java.util.Optional#get(),31071914.0
java.lang.IllegalArgumentException#IllegalArgumentException(String),31055847.0
java.util.Entry#getValue(),29523532.0
java.io.PrintWriter#write(String),29321317.0
"java.lang.Enum#Enum(String,int)",28456862.0
java.util.Entry#getKey(),27608132.0
java.util.Iterator#next(),26497821.0
java.util.Collections#singletonList(Object),24658435.0
java.lang.String#contains(CharSequence),23252447.0
java.util.ArrayList#add(Object),22619648.0
java.lang.Iterable#forEach(Consumer),21964564.0
java.lang.StringBuffer#append(String),21819122.0
java.lang.Object#hashCode(),21624002.0
java.util.Optional#orElse(Object),21444642.0
java.util.Optional#of(Object),21107363.0
java.util.Collections#emptyList(),20952215.0
java.lang.Object#equals(Object),20365979.0
java.lang.System#currentTimeMillis(),20308212.0
java.util.Map#containsKey(Object),19561689.0
java.math.BigDecimal#BigDecimal(String),18966177.0
java.util.List#addAll(Collection),18910857.0
java.lang.String#trim(),18801926.0
java.util.Map#entrySet(),18473372.0
java.util.Set#contains(Object),18403874.0
java.util.Optional#ofNullable(Object),18245597.0
java.util.Optional#isPresent(),17873585.0
java.lang.Integer#parseInt(String),17064801.0
java.lang.String#startsWith(String),16830369.0
java.util.Optional#empty(),16822101.0
java.lang.IllegalStateException#IllegalStateException(String),16530238.0
java.util.Iterator#hasNext(),16365868.0
java.util.Optional#map(Function),16203608.0
java.util.List#of(Object),15818797.0
java.util.List#contains(Object),15606644.0
java.util.Objects#hash(Object\[\]),15422297.0
"java.lang.String#substring(int,int)",15395471.0
java.lang.Enum#equals(Object),15087178.0
java.lang.String#isEmpty(),14717398.0
java.lang.RuntimeException#RuntimeException(String),14575661.0
"java.lang.String#replace(CharSequence,CharSequence)",14527883.0
java.util.Set#size(),14455235.0
java.io.File#File(String),13580950.0
java.util.Map#values(),13461679.0
java.lang.String#split(String),13218350.0
java.lang.StringBuilder#append(Object),12980957.0
java.util.Map#size(),12900348.0
java.util.UUID#randomUUID(),12838483.0
java.util.Map#keySet(),12811949.0
java.util.ArrayList#ArrayList(Collection),12681530.0
java.lang.Throwable#Throwable(Throwable),12575604.0
java.sql.ResultSet#getString(String),12297829.0
java.lang.String#hashCode(),12180204.0
java.util.HashMap#get(Object),12079913.0
java.lang.Class#getSimpleName(),12036752.0
java.util.Map#remove(Object),11789156.0
java.util.Set#isEmpty(),11590408.0
java.lang.String#substring(int),11432896.0
java.lang.StringBuilder#append(int),11300066.0
java.lang.Throwable#printStackTrace(),11279133.0
java.lang.String#valueOf(Object),10883650.0
java.lang.String#toLowerCase(),10434266.0
java.util.stream.Stream#findFirst(),10408455.0
java.util.Collection#size(),9808524.0
java.util.UUID#toString(),9709333.0
"java.util.Objects#requireNonNull(Object,String)",9535852.0
java.nio.file.Path#resolve(String),9473756.0
java.util.Map#isEmpty(),8945948.0
java.lang.RuntimeException#RuntimeException(Throwable),8942990.0
java.lang.UnsupportedOperationException#UnsupportedOperationException(String),8915220.0
java.util.Optional#ifPresent(Consumer),8914757.0
java.lang.String#valueOf(int),8885091.0
java.lang.Enum#toString(),8870482.0
java.lang.String#charAt(int),8641553.0
java.lang.Integer#intValue(),8484650.0
java.util.ArrayList#size(),8454759.0
java.util.ArrayList#ArrayList(int),8287107.0
java.util.function.Function#apply(Object),8269544.0
java.util.stream.Stream#forEach(Consumer),8258572.0
java.util.ArrayList#get(int),8138313.0
java.util.Set#iterator(),8133654.0
java.util.stream.Collectors#toSet(),8069548.0
"java.lang.String#replaceAll(String,String)",7957229.0
java.lang.String#getBytes(Charset),7759003.0
java.util.Objects#requireNonNull(Object),7660662.0
java.util.Objects#nonNull(Object),7549371.0
java.lang.String#endsWith(String),7525986.0
java.lang.AbstractStringBuilder#length(),7423239.0
"java.sql.PreparedStatement#setString(int,String)",7367739.0
java.util.regex.Pattern#matcher(CharSequence),7361895.0
java.nio.file.Path#toString(),7230023.0
java.time.Instant#now(),7147201.0
java.io.File#getAbsolutePath(),6957821.0
java.util.Set#addAll(Collection),6746356.0
java.lang.Integer#valueOf(int),6656200.0
java.util.HashSet#HashSet(Collection),6450684.0
java.lang.Integer#toString(int),6445826.0
java.lang.StringBuilder#StringBuilder(String),6429734.0
java.lang.Thread#sleep(long),6428409.0
java.lang.Thread#currentThread(),6393330.0
java.util.Date#getTime(),6366644.0
java.io.Writer#write(String),6335527.0
java.lang.String#getBytes(),6333454.0
java.io.File#exists(),6288072.0
java.lang.String#toUpperCase(),6278162.0
java.lang.Long#parseLong(String),6217691.0
java.util.Collections#emptyMap(),6000885.0
java.util.Optional#orElseThrow(Supplier),5955563.0
"java.util.List#of(Object,Object)",5945815.0
java.util.concurrent.CountDownLatch#countDown(),5936377.0
java.lang.Class#isAssignableFrom(Class),5928228.0
java.lang.IndexOutOfBoundsException#IndexOutOfBoundsException(String),5898319.0
java.lang.Throwable#getCause(),5845863.0
java.util.Arrays#stream(Object\[\]),5741479.0
java.util.function.Supplier#get(),5684555.0
java.lang.Exception#Exception(String),5604478.0
java.util.function.Consumer#accept(Object),5596090.0
java.util.stream.Stream#anyMatch(Predicate),5591303.0
java.util.List#clear(),5580497.0
"java.io.File#File(File,String)",5515804.0
java.lang.String#indexOf(String),5515367.0
java.util.List#iterator(),5488147.0
java.util.concurrent.CountDownLatch#CountDownLatch(int),5483470.0
java.sql.ResultSet#next(),5451532.0
"java.sql.PreparedStatement#setInt(int,int)",5414570.0
java.util.concurrent.atomic.AtomicInteger#get(),5296752.0
"java.util.stream.Collectors#toMap(Function,Function)",5245415.0
"java.lang.Math#min(int,int)",5236194.0
java.lang.Long#equals(Object),5230645.0
"java.util.Properties#setProperty(String,String)",5198424.0
"java.util.Map#getOrDefault(Object,Object)",5195667.0
java.lang.System#getProperty(String),5137840.0
java.util.stream.Stream#of(Object\[\]),5100646.0
"java.nio.file.Paths#get(String,String\[\])",5066330.0
java.math.BigDecimal#compareTo(BigDecimal),4994177.0
java.math.BigDecimal#valueOf(long),4980024.0
"java.lang.RuntimeException#RuntimeException(String,Throwable)",4966324.0
java.util.Collection#add(Object),4902525.0
java.util.Collections#emptySet(),4882619.0
java.util.stream.Stream#flatMap(Function),4816271.0
java.util.concurrent.atomic.AtomicReference#get(),4804877.0
java.util.Collection#isEmpty(),4795347.0
java.lang.StringBuffer#toString(),4742331.0
java.util.Collections#singleton(Object),4717593.0
java.io.File#getName(),4670968.0
java.time.ZonedDateTime#now(),4618487.0
java.io.ByteArrayInputStream#ByteArrayInputStream(byte\[\]),4485078.0
java.nio.file.Path#toFile(),4444085.0
java.util.Date#Date(long),4424538.0
java.lang.System#nanoTime(),4370814.0
"java.util.Hashtable#put(Object,Object)",4336101.0
java.util.Map#putAll(Map),4332901.0
java.lang.Long#toString(),4296390.0
java.util.List#toArray(Object\[\]),4261892.0
java.io.File#toPath(),4181537.0
java.util.regex.Matcher#group(int),4155112.0
"java.time.LocalDate#of(int,int,int)",4154339.0
java.lang.String#valueOf(long),4134341.0
java.math.BigDecimal#valueOf(double),4115361.0
java.io.IOException#IOException(String),4113501.0
java.text.DateFormat#format(Date),4062924.0
java.sql.ResultSet#getInt(String),4044756.0
java.util.Map#clear(),4027028.0
java.util.HashSet#add(Object),3975994.0
java.lang.Class#getClassLoader(),3975362.0
java.lang.Boolean#equals(Object),3951154.0
java.lang.String#concat(String),3926096.0
"java.util.Collections#singletonMap(Object,Object)",3880980.0
java.util.Collection#iterator(),3875109.0
"java.util.Map#computeIfAbsent(Object,Function)",3865545.0
java.text.SimpleDateFormat#SimpleDateFormat(String),3865541.0
java.util.StringJoiner#add(CharSequence),3864785.0
java.lang.Long#longValue(),3857179.0
java.util.stream.Collectors#joining(CharSequence),3839262.0
"java.lang.Math#max(int,int)",3792097.0
"java.util.Map#of(Object,Object)",3715085.0
java.lang.Long#valueOf(long),3702084.0
java.util.Random#nextInt(int),3697992.0
java.lang.Long#valueOf(String),3676193.0
"java.util.concurrent.CountDownLatch#await(long,TimeUnit)",3654946.0
java.util.Properties#getProperty(String),3644965.0
java.util.Optional#isEmpty(),3641245.0
java.util.concurrent.CompletableFuture#get(),3620600.0
java.util.Objects#isNull(Object),3609120.0
java.lang.StringBuilder#append(long),3591443.0
"java.awt.Container#add(Component,Object)",3573575.0
java.math.BigDecimal#add(BigDecimal),3566473.0
java.sql.PreparedStatement#executeQuery(),3555015.0
java.lang.StringBuilder#StringBuilder(int),3538972.0
java.util.Map#forEach(BiConsumer),3513387.0
java.math.BigDecimal#BigDecimal(int),3509545.0
java.util.Collections#unmodifiableList(List),3487925.0
"java.util.Properties#put(Object,Object)",3470882.0
java.sql.Timestamp#Timestamp(long),3470333.0
java.util.List#equals(Object),3456691.0
java.lang.String#indexOf(int),3447691.0
java.lang.Long#toString(long),3428850.0
java.lang.Integer#Integer(int),3418458.0
java.util.concurrent.atomic.AtomicBoolean#get(),3408187.0
"java.lang.System#setProperty(String,String)",3380659.0
java.util.concurrent.Future#get(),3374467.0
java.lang.Thread#start(),3328124.0
java.util.Set#of(Object),3327588.0
"java.util.Calendar#set(int,int)",3314831.0
java.time.Duration#ofSeconds(long),3283464.0
"java.lang.System#arraycopy(Object,int,Object,int,int)",3273972.0
java.net.URI#toString(),3272421.0
java.util.concurrent.atomic.AtomicInteger#incrementAndGet(),3254003.0
